rank,title,singer,album
65,Dynamite,방탄소년단,Dynamite (DayTime Ver.)
66,Nostalgia,우디 (Woody),Nostalgia
67,그라데이션,10CM,5.3
68,ELEVEN,IVE (아이브),ELEVEN
69,Loving You Girl (Feat. Hkeem),Peder Elias,Love & Loneliness
70,내가 아니라도,주호,내가 아니라도
71,Love Me Like This,NMIXX,expérgo
72,Celebrity,아이유 (IU),IU 5th Album 'LILAC'
73,나의 X에게,경서,나의 X에게
74,Unholy,Sam Smith & Kim Petras,Unholy
75,Ai Wo Tsutaetaidatoka,Aimyon,Ai Wo Tsutaetaidatoka
76,When I Get Old,Christopher & 청하,When I Get Old
77,사람 Pt.2 (Feat. 아이유),Agust D,D-DAY
78,그중에 그대를 만나,김호중,삼남매가 용감하게 OST Part.1
79,Cookie,NewJeans,NewJeans 1st EP 'New Jeans'
80,Say I Love You,우디 (Woody),Say I Love You (Re : WIND 4MEN Vol.04)
81,Weekend,태연 (TAEYEON),Weekend
82,Like Crazy,지민,FACE
83,FEARLESS,LE SSERAFIM (르세라핌),FEARLESS
84,봄날,방탄소년단,YOU NEVER WALK ALONE
85,보고싶었어,WSG워너비 (4FIRE),WSG워너비 1집
86,Heaven (2023),임재현,시작은 첫키스 OST Part.1
87,NOT SORRY (Feat. pH-1) (Prod. by Slom),이영지,쇼미더머니 11 Episode 3
88,희재,성시경,국화꽃 향기 OST
89,HOT,세븐틴 (SEVENTEEN),SEVENTEEN 4th Album 'Face the Sun'
90,Butter,방탄소년단,Butter
91,정이라고 하자 (Feat. 10CM),BIG Naughty (서동현),정이라고 하자
92,슝! (Feat. LISA of BLACKPINK),태양,Down to Earth
93,나의 목소리로,김호중,나의 목소리로
94,Candy,NCT DREAM,Candy - Winter Special Mini Album
95,Off My Face,Justin Bieber,Justice
96,당신을 만나,김호중 & 송가인,당신을 만나
97,Every Second,Mina Okabe,Every Second
98,2002,Anne-Marie,Speak Your Mind (Deluxe)
99,봄여름가을겨울 (Still Life),BIGBANG (빅뱅),봄여름가을겨울 (Still Life)
100,Rush Hour (Feat. j-hope of BTS),Crush,Rush Hour
101,"모든 날, 모든 순간 (Every day, Every Moment)",폴킴,'키스 먼저 할까요?' OST Part. 3 (SBS 월화드라마)
102,흔들리는 꽃들 속에서 네 샴푸향이 느껴진거야,장범준,멜로가 체질 OST Part 3 (JTBC 금토 드라마)
103,Dreamers (Music from the FIFA World Cup Qatar 2022 Official Soundtrack) (Feat. FIFA Sound),정국 & 방탄소년단,Dreamers (Music from the FIFA World Cup Qatar 2022 Official Soundtrack)
104,주마등,김호중,PANORAMA
105,신호등,이무진,신호등
106,LOVE me,BE'O (비오),LOVE me
107,Bad Habits,Ed Sheeran,=
108,밤하늘의 별을 (2020),경서,밤하늘의 별을 (2020)
109,딱 10CM만,10CM & BIG Naughty (서동현),딱 10CM만
110,주저하는 연인들을 위해,잔나비,전설
111,빛이 나는 사람,김호중,빛이 나는 사람
112,사랑하지 않아서 그랬어,임한별,사랑하지 않아서 그랬어
113,인생은 뷰티풀,김호중,인생은 뷰티풀 : 비타돌체
114,"LOVE DAY (2021) (바른연애 길잡이 X 양요섭, 정은지)",양요섭 & 정은지,"LOVE DAY (2021) (바른연애 길잡이 X 양요섭, 정은지)"
115,에잇 (Prod. & Feat. SUGA of BTS),아이유 (IU),에잇
116,Permission to Dance,방탄소년단,Butter / Permission to Dance
117,That That (Prod. & Feat. SUGA of BTS),싸이 (Psy),싸다9
118,리무진 (Feat. MINO) (Prod. by GRAY),BE'O (비오),쇼미더머니 10 Episode 3
119,슬픈등,김호중,인생은 뷰티풀 : 비타돌체
120,Love story,볼빨간사춘기,Seoul
121,자격지심 (Feat. ZICO),BE'O (비오),FIVE SENSES
122,약속 (約束),김호중,PANORAMA
123,Bad,Christopher,Under the Surface
124,Perfume,NCT 도재정,Perfume - The 1st Mini Album
125,Next Level,aespa,Next Level
126,At My Worst,Pink Sweat$,The Prelude
127,떠나보낼 준비해 둘걸 그랬어,임한별,떠나보낼 준비해 둘걸 그랬어
128,Il Mare Calmo Della Sera,김호중,PANORAMA
129,발걸음,DK (디셈버),발걸음
130,strawberry moon,아이유 (IU),strawberry moon
131,고백,멜로망스 (MeloMance),세 번째 '고백'
132,만개 (Prod. 신지후),김호중,우리家
133,나보다 더 사랑해요,김호중,나보다 더 사랑해요
134,Blueming,아이유 (IU),Love poem
135,Made You Look,Meghan Trainor,Takin' It Back
136,다시 사랑한다면 (니글니글 버터플라이),김필,복면가왕 47회
137,Chase Love Hard (Feat. 황민현),볼빨간사춘기,사랑.zip
138,Left and Right (Feat. Jung Kook of BTS),Charlie Puth & 정국 & 방탄소년단,Left and Right
139,오늘도 빛나는 너에게 (To You My Light) (Feat.이라온),마크툽 (Maktub),Red Moon : To You My Light
140,내 기쁨은 너가 벤틀리를 끄는 거야,김승민,PROTOTYPE RESEARCH #0063
141,잘가요,주호,잘가요
142,Yet To Come,방탄소년단,Proof
143,라일락,아이유 (IU),IU 5th Album 'LILAC'
144,나비무덤,포맨 (4MEN),나비무덤
145,Stronger (What Doesn't Kill You),Kelly Clarkson,Stronger (What Doesn't Kill You)
146,사계 (Four Seasons),태연 (TAEYEON),사계 (Four Seasons)
147,OHAYO MY NIGHT,디핵 (D-Hack) & PATEKO,OHAYO MY NIGHT
148,"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",AKMU (악뮤),항해
149,그대를 알고,송하예,그대를 알고
150,우린 그렇게 사랑해서,강민경 (다비치) & 잔나비 최정훈,우린 그렇게 사랑해서
151,바라만 본다,MSG워너비 (M.O.M),MSG워너비 1집
152,KNOCK,이채연,Over The Moon
153,찰나가 영원이 될 때 (The Eternal Moment),마크툽 (Maktub),Red Moon : Beyond The Light
154,첫눈처럼 너에게 가겠다,에일리 (Ailee),도깨비 OST Part 9 (tvN 금토드라마)
155,풍등,이찬원,ONE
156,내 손을 잡아,아이유 (IU),최고의 사랑 OST Part.4 (MBC 수목드라마)
157,Feel My Rhythm,Red Velvet (레드벨벳),'The ReVe Festival 2022 - Feel My Rhythm'
158,그리움의 계절,김호중,PANORAMA
159,새벽에 걸려온 너의 전화는,한동근,미련을 말하는
160,다시 사랑한다면,한동근,다시 사랑한다면
161,Set Me Free Pt.2,지민,FACE
162,아로하,조정석,슬기로운 의사생활 OST Part 3 (tvN 목요드라마)
163,12 : 45 (Stripped),etham,12 : 45 (Stripped)
164,INVU,태연 (TAEYEON),INVU - The 3rd Album
165,Tiny Riot,Sam Ryder,The Sun's Gonna Rise
166,그댄 행복에 살텐데 (2022),최유리,그댄 행복에 살텐데 (2022)
167,너를 보는게 지친 하루에,송하예,너를 보는게 지친 하루에
168,마지막 사랑,신예영,마지막 사랑
169,Poppy (Korean Ver.),STAYC (스테이씨),Teddy Bear
170,헤픈 우연,헤이즈 (Heize),HAPPEN
171,한 페이지가 될 수 있게,DAY6 (데이식스),The Book of Us : Gravity
172,GHOST TOWN,Benson Boone,GHOST TOWN
173,팡파레,다비치,Season Note
174,예뻤어,DAY6 (데이식스),Every DAY6 February
175,사랑한다고 말해줘,탑현,사랑한다고 말해줘
176,"10,000 Hours",Dan ＋ Shay & Justin Bieber,Good Things
177,있잖아,폴킴,연애플레이리스트2 OST Part.2
178,해금,Agust D,D-DAY
179,오래된 노래,Standing Egg (스탠딩 에그),오래된 노래
180,Inspiration (Feat. Beenzino),태양,Down to Earth
181,딴따라,iKON,딴따라
182,FOREVER 1,소녀시대 (GIRLS' GENERATION),FOREVER 1 - The 7th Album
183,Shape Of You,Ed Sheeran,÷ (Deluxe)
184,SNEAKERS,ITZY (있지),CHECKMATE
185,on the street,j-hope & J. Cole,on the street
186,하루 끝,아이유 (IU),스무 살의 봄
187,사랑했었다 (Still love you),이홍기 (FT아일랜드) & 유회승 (엔플라잉),FNC LAB '사랑했었다 (Still love you)'
188,너의 번호를 누르고 (Prod. by 영화처럼),#안녕,너의 번호를 누르고
189,Comethru,Jeremy Zucker,"Summer,"
190,Fall In Love Alone,Stacey Ryan,Fall In Love Alone
191,모든 순간을 기억할게,봉훈,모든 순간을 기억할게
192,회전목마 (Feat. Zion.T & 원슈타인) (Prod. by Slom),sokodomo,쇼미더머니 10 Episode 2
193,Memories,Maroon 5,Memories
194,결국엔 너에게 닿아서,WSG워너비 (가야G),결국엔 너에게 닿아서
195,Zero,NewJeans,Zero
196,I Ain't Worried,OneRepublic,I Ain't Worried (Music From The Motion Picture 'Top Gun : Maverick')
197,My Universe,Coldplay & 방탄소년단,My Universe
198,건배,이찬원,ONE
199,I'm Not The Only One,Sam Smith,In The Lonely Hour (Standard Edition)
200,Don't Know What To Do,BLACKPINK,KILL THIS LOVE
