rank,title,singer,album
1,I AM,IVE (아이브),I've IVE
2,Kitsch,IVE (아이브),I've IVE
3,꽃,지수(JISOO),ME
4,Cupid,FIFTY FIFTY,The Beginning: Cupid
5,손오공,세븐틴(SEVENTEEN),SEVENTEEN 10th Mini Album ‘FML'
6,Ditto,NewJeans,NewJeans 'OMG'
7,Hype Boy,NewJeans,NewJeans 1st EP 'New Jeans'
8,Teddy Bear,STAYC(스테이씨),Teddy Bear
9,OMG,NewJeans,NewJeans 'OMG'
10,Love Me Like This,NMIXX,expérgo
11,건물 사이에 피어난 장미 (Rose Blossom),H1-KEY (하이키),H1-KEY 1st Mini Album [Rose Blossom]
12,사건의 지평선,윤하(Younha/ユンナ),YOUNHA 6th Album Repackage 'END THEORY : Final Edition'
13,Attention,NewJeans,NewJeans 1st EP 'New Jeans'
14,LOVE DIVE,IVE (아이브),LOVE DIVE
15,I Don’t Think That I Like Her,Charlie Puth(찰리 푸스),I Don’t Think That I Like Her
16,파이팅 해야지 (Feat. 이영지),부석순(SEVENTEEN),부석순 1st Single Album 'SECOND WIND'
17,CHRISTIAN,지올팍(Zior Park),WHERE DOES SASQUATCH LIVE? PART 1
18,ANTIFRAGILE,LE SSERAFIM (르세라핌),ANTIFRAGILE
19,After LIKE,IVE (아이브),After LIKE
20,Dangerously,Charlie Puth(찰리 푸스),Nine Track Mind (Deluxe Edition)
21,사랑인가 봐,멜로망스(MeloMance),사랑인가 봐 (사내맞선 OST 스페셜 트랙)
22,나의 마음에 (Seed),태양,Down to Earth
23,Expectations,Anne-Marie(앤 마리),Expectations
24,Poppy (Korean Ver.),STAYC(스테이씨),Teddy Bear
25,너의 모든 순간,성시경,별에서 온 그대 (SBS 수목드라마) OST - Part.7
26,FRIEND THE END,볼빨간사춘기,사랑.zip
27,심(心),DK(디셈버),심(心)
28,오르트구름,윤하(Younha/ユンナ),YOUNHA 6th Album 'END THEORY'
29,Chase Love Hard (Feat. 황민현),볼빨간사춘기,사랑.zip
30,FEARLESS,LE SSERAFIM (르세라핌),FEARLESS
31,슝! (feat. LISA of BLACKPINK),태양,Down to Earth
32,Pink Venom,BLACKPINK,BORN PINK
33,VIBE (feat. Jimin of BTS),태양,VIBE (feat. Jimin of BTS)
34,한 페이지가 될 수 있게,DAY6 (데이식스),The Book of Us : Gravity
35,Cupid (Twin Ver.),FIFTY FIFTY,The Beginning: Cupid
36,Candy,NCT DREAM,Candy - Winter Special Mini Album
37,Cookie,NewJeans,NewJeans 1st EP 'New Jeans'
38,That's Hilarious,Charlie Puth(찰리 푸스),That's Hilarious
39,ELEVEN,IVE (아이브),ELEVEN
40,헤어지자 말해요,박재정,1집 Alone
41,STAY,The Kid LAROI,STAY
42,When I Get Old,Christopher(크리스토퍼),When I Get Old
43,그라데이션,10CM,5.3
44,밤이 무서워요 (Lonely Night),주주 시크릿,밤이 무서워요 (Lonely Night)
45,That’s Not How This Works (feat. Dan + Shay),Charlie Puth(찰리 푸스),That’s Not How This Works (feat. Dan + Shay)
46,Shut Down,BLACKPINK,BORN PINK
47,Nostalgia,우디(Woody),Nostalgia
48,정이라고 하자 (Feat. 10CM),BIG Naughty (서동현),정이라고 하자
49,Say My Name,Say Yes!,BOYS PLANET - ARTIST BATTLE
50,F*ck My Life,세븐틴(SEVENTEEN),SEVENTEEN 10th Mini Album ‘FML'
51,KNOCK,이채연,Over The Moon
52,빛이 나는 너에게,던 (DAWN),빛이 나는 너에게
53,Unholy,Sam Smith(샘 스미스),Unholy
54,Nxde,(여자)아이들,I love
55,Say I Love You,우디(Woody),Say I Love You (Re : WIND 4MEN Vol.04)
56,다정히 내 이름을 부르면,경서예지,다정히 내 이름을 부르면 (경서예지 x 전건호)
57,사람 Pt.2 (feat. 아이유),Agust D,D-DAY
58,WHEN I MOVE,카라(Kara),MOVE AGAIN
59,TOMBOY,(여자)아이들,I NEVER DIE
60,Inspiration (feat. Beenzino),태양,Down to Earth
61,Off My Face,Justin Bieber(저스틴 비버),Justice
