rank,title,singer,album
1,I AM,IVE (아이브),I've IVE
2,Kitsch,IVE (아이브),I've IVE
3,꽃,지수(JISOO),ME
4,Cupid,FIFTY FIFTY,The Beginning: Cupid
5,손오공,세븐틴(SEVENTEEN),SEVENTEEN 10th Mini Album ‘FML'
6,Ditto,NewJeans,NewJeans 'OMG'
7,Hype Boy,NewJeans,NewJeans 1st EP 'New Jeans'
8,Teddy Bear,STAYC(스테이씨),Teddy Bear
9,OMG,NewJeans,NewJeans 'OMG'
10,Love Me Like This,NMIXX,expérgo
11,건물 사이에 피어난 장미 (Rose Blossom),H1-KEY (하이키),H1-KEY 1st Mini Album [Rose Blossom]
12,사건의 지평선,윤하(Younha/ユンナ),YOUNHA 6th Album Repackage 'END THEORY : Final Edition'
13,I Don’t Think That I Like Her,Charlie Puth(찰리 푸스),I Don’t Think That I Like Her
14,CHRISTIAN,지올팍(Zior Park),WHERE DOES SASQUATCH LIVE? PART 1
15,Attention,NewJeans,NewJeans 1st EP 'New Jeans'
16,After LIKE,IVE (아이브),After LIKE
17,Dangerously,Charlie Puth(찰리 푸스),Nine Track Mind (Deluxe Edition)
18,ANTIFRAGILE,LE SSERAFIM (르세라핌),ANTIFRAGILE
19,When I Get Old,Christopher(크리스토퍼),When I Get Old
20,파이팅 해야지 (Feat. 이영지),부석순(SEVENTEEN),부석순 1st Single Album 'SECOND WIND'
21,LOVE DIVE,IVE (아이브),LOVE DIVE
22,FRIEND THE END,볼빨간사춘기,사랑.zip
23,Shut Down,BLACKPINK,BORN PINK
24,사랑인가 봐,멜로망스(MeloMance),사랑인가 봐 (사내맞선 OST 스페셜 트랙)
25,슝! (feat. LISA of BLACKPINK),태양,Down to Earth
26,Cupid (Twin Ver.),FIFTY FIFTY,The Beginning: Cupid
27,밤이 무서워요 (Lonely Night),주주 시크릿,밤이 무서워요 (Lonely Night)
28,심(心),DK(디셈버),심(心)
29,F*ck My Life,세븐틴(SEVENTEEN),SEVENTEEN 10th Mini Album ‘FML'
30,한 페이지가 될 수 있게,DAY6 (데이식스),The Book of Us : Gravity
31,나의 마음에 (Seed),태양,Down to Earth
32,헤어지자 말해요,박재정,1집 Alone
33,Pink Venom,BLACKPINK,BORN PINK
34,오르트구름,윤하(Younha/ユンナ),YOUNHA 6th Album 'END THEORY'
35,ELEVEN,IVE (아이브),ELEVEN
36,Poppy (Korean Ver.),STAYC(스테이씨),Teddy Bear
37,Expectations,Anne-Marie(앤 마리),Expectations
38,VIBE (feat. Jimin of BTS),태양,VIBE (feat. Jimin of BTS)
39,FEARLESS,LE SSERAFIM (르세라핌),FEARLESS
40,너의 모든 순간,성시경,별에서 온 그대 (SBS 수목드라마) OST - Part.7
41,That's Hilarious,Charlie Puth(찰리 푸스),That's Hilarious
42,Candy,NCT DREAM,Candy - Winter Special Mini Album
43,Chase Love Hard (Feat. 황민현),볼빨간사춘기,사랑.zip
44,Nostalgia,우디(Woody),Nostalgia
45,KNOCK,이채연,Over The Moon
46,먼지,세븐틴(SEVENTEEN),SEVENTEEN 10th Mini Album ‘FML'
47,그라데이션,10CM,5.3
48,Cookie,NewJeans,NewJeans 1st EP 'New Jeans'
49,Inspiration (feat. Beenzino),태양,Down to Earth
50,빛이 나는 너에게,던 (DAWN),빛이 나는 너에게
51,"모든 날, 모든 순간 (Every day, Every Moment)",폴킴(Paul Kim),'키스 먼저 할까요?' OST Part.3
52,사람 Pt.2 (feat. 아이유),Agust D,D-DAY
53,Unholy,Sam Smith(샘 스미스),Unholy
54,WHEN I MOVE,카라(Kara),MOVE AGAIN
55,다정히 내 이름을 부르면,경서예지,다정히 내 이름을 부르면 (경서예지 x 전건호)
56,Say My Name,Say Yes!,BOYS PLANET - ARTIST BATTLE
57,Monologue,테이(Tei),Monologue
58,Perfume,NCT 도재정,Perfume - The 1st Mini Album
59,취중고백,김민석 (멜로망스),취중고백
60,TOMBOY,(여자)아이들,I NEVER DIE
61,STAY,The Kid LAROI,STAY
