rank,title,singer,album
1,I AM,IVE (아이브),I've IVE
2,Kitsch,IVE (아이브),I've IVE
3,꽃,지수(JISOO),ME
4,Cupid,FIFTY FIFTY,The Beginning: Cupid
5,Ditto,NewJeans,NewJeans 'OMG'
6,손오공,세븐틴(SEVENTEEN),SEVENTEEN 10th Mini Album ‘FML'
7,Hype Boy,NewJeans,NewJeans 1st EP 'New Jeans'
8,Teddy Bear,STAYC(스테이씨),Teddy Bear
9,OMG,NewJeans,NewJeans 'OMG'
10,Love Me Like This,NMIXX,expérgo
11,건물 사이에 피어난 장미 (Rose Blossom),H1-KEY (하이키),H1-KEY 1st Mini Album [Rose Blossom]
12,CHRISTIAN,지올팍(Zior Park),WHERE DOES SASQUATCH LIVE? PART 1
13,I Don’t Think That I Like Her,Charlie Puth(찰리 푸스),I Don’t Think That I Like Her
14,사건의 지평선,윤하(Younha/ユンナ),YOUNHA 6th Album Repackage 'END THEORY : Final Edition'
15,Attention,NewJeans,NewJeans 1st EP 'New Jeans'
16,After LIKE,IVE (아이브),After LIKE
17,ANTIFRAGILE,LE SSERAFIM (르세라핌),ANTIFRAGILE
18,LOVE DIVE,IVE (아이브),LOVE DIVE
19,파이팅 해야지 (Feat. 이영지),부석순(SEVENTEEN),부석순 1st Single Album 'SECOND WIND'
20,Dangerously,Charlie Puth(찰리 푸스),Nine Track Mind (Deluxe Edition)
21,When I Get Old,Christopher(크리스토퍼),When I Get Old
22,FRIEND THE END,볼빨간사춘기,사랑.zip
23,Cupid (Twin Ver.),FIFTY FIFTY,The Beginning: Cupid
24,Shut Down,BLACKPINK,BORN PINK
25,한 페이지가 될 수 있게,DAY6 (데이식스),The Book of Us : Gravity
26,사랑인가 봐,멜로망스(MeloMance),사랑인가 봐 (사내맞선 OST 스페셜 트랙)
27,오르트구름,윤하(Younha/ユンナ),YOUNHA 6th Album 'END THEORY'
28,심(心),DK(디셈버),심(心)
29,밤이 무서워요 (Lonely Night),주주 시크릿,밤이 무서워요 (Lonely Night)
30,Poppy (Korean Ver.),STAYC(스테이씨),Teddy Bear
31,Chase Love Hard (Feat. 황민현),볼빨간사춘기,사랑.zip
32,내가 아니라도,주호,내가 아니라도
33,"모든 날, 모든 순간 (Every day, Every Moment)",폴킴(Paul Kim),'키스 먼저 할까요?' OST Part.3
34,Pink Venom,BLACKPINK,BORN PINK
35,나의 X에게,경서,나의 X에게
36,VIBE (feat. Jimin of BTS),태양,VIBE (feat. Jimin of BTS)
37,Cookie,NewJeans,NewJeans 1st EP 'New Jeans'
38,ELEVEN,IVE (아이브),ELEVEN
39,FEARLESS,LE SSERAFIM (르세라핌),FEARLESS
40,Feel My Rhythm,Red Velvet (레드벨벳),‘The ReVe Festival 2022 - Feel My Rhythm’
41,Say My Name,Say Yes!,BOYS PLANET - ARTIST BATTLE
42,도깨비불 (Illusion),aespa,Girls - The 2nd Mini Album
43,Monologue,테이(Tei),Monologue
44,Nxde,(여자)아이들,I love
45,Off My Face,Justin Bieber(저스틴 비버),Justice
46,Candy,NCT DREAM,Candy - Winter Special Mini Album
47,LOVE me,BE'O (비오),LOVE me
48,드라마,아이유(IU),조각집
49,사랑은 늘 도망가,임영웅,신사와 아가씨 OST Part.2
50,INVU,태연 (TAEYEON),INVU - The 3rd Album
51,헤어지자 말해요,박재정,1집 Alone
52,그라데이션,10CM,5.3
53,Love story,볼빨간사춘기,Seoul
54,strawberry moon,아이유(IU),strawberry moon
55,빛이 나는 너에게,던 (DAWN),빛이 나는 너에게
56,Expectations,Anne-Marie(앤 마리),Expectations
57,F*ck My Life,세븐틴(SEVENTEEN),SEVENTEEN 10th Mini Album ‘FML'
58,너의 모든 순간,성시경,별에서 온 그대 (SBS 수목드라마) OST - Part.7
59,Higher,FIFTY FIFTY,THE FIFTY
60,사람 Pt.2 (feat. 아이유),Agust D,D-DAY
61,Nostalgia,우디(Woody),Nostalgia
62,That's Hilarious,Charlie Puth(찰리 푸스),That's Hilarious
