rank,title,singer,album
1,I AM,IVE (아이브),I've IVE
2,Kitsch,IVE (아이브),I've IVE
3,꽃,지수(JISOO),ME
4,Cupid,FIFTY FIFTY,The Beginning: Cupid
5,손오공,세븐틴(SEVENTEEN),SEVENTEEN 10th Mini Album ‘FML'
6,Ditto,NewJeans,NewJeans 'OMG'
7,Hype Boy,NewJeans,NewJeans 1st EP 'New Jeans'
8,OMG,NewJeans,NewJeans 'OMG'
9,Teddy Bear,STAYC(스테이씨),Teddy Bear
10,Love Me Like This,NMIXX,expérgo
11,건물 사이에 피어난 장미 (Rose Blossom),H1-KEY (하이키),H1-KEY 1st Mini Album [Rose Blossom]
12,CHRISTIAN,지올팍(Zior Park),WHERE DOES SASQUATCH LIVE? PART 1
13,사건의 지평선,윤하(Younha/ユンナ),YOUNHA 6th Album Repackage 'END THEORY : Final Edition'
14,After LIKE,IVE (아이브),After LIKE
15,I Don’t Think That I Like Her,Charlie Puth(찰리 푸스),I Don’t Think That I Like Her
16,Attention,NewJeans,NewJeans 1st EP 'New Jeans'
17,LOVE DIVE,IVE (아이브),LOVE DIVE
18,파이팅 해야지 (Feat. 이영지),부석순(SEVENTEEN),부석순 1st Single Album 'SECOND WIND'
19,ANTIFRAGILE,LE SSERAFIM (르세라핌),ANTIFRAGILE
20,Dangerously,Charlie Puth(찰리 푸스),Nine Track Mind (Deluxe Edition)
21,사랑인가 봐,멜로망스(MeloMance),사랑인가 봐 (사내맞선 OST 스페셜 트랙)
22,Cupid (Twin Ver.),FIFTY FIFTY,The Beginning: Cupid
23,주저하는 연인들을 위해,잔나비,전설
24,FRIEND THE END,볼빨간사춘기,사랑.zip
25,ELEVEN,IVE (아이브),ELEVEN
26,Off My Face,Justin Bieber(저스틴 비버),Justice
27,Expectations,Anne-Marie(앤 마리),Expectations
28,오르트구름,윤하(Younha/ユンナ),YOUNHA 6th Album 'END THEORY'
29,Poppy (Korean Ver.),STAYC(스테이씨),Teddy Bear
30,나의 마음에 (Seed),태양,Down to Earth
31,해요 (2022),#안녕,해요 (2022)
32,That's Hilarious,Charlie Puth(찰리 푸스),That's Hilarious
33,Rush Hour (Feat. j-hope of BTS),Crush,Rush Hour
34,When I Get Old,Christopher(크리스토퍼),When I Get Old
35,심(心),DK(디셈버),심(心)
36,너의 모든 순간,성시경,별에서 온 그대 (SBS 수목드라마) OST - Part.7
37,한 페이지가 될 수 있게,DAY6 (데이식스),The Book of Us : Gravity
38,VIBE (feat. Jimin of BTS),태양,VIBE (feat. Jimin of BTS)
39,딱 10CM만,10CM,딱 10CM만
40,Pink Venom,BLACKPINK,BORN PINK
41,FEARLESS,LE SSERAFIM (르세라핌),FEARLESS
42,Shut Down,BLACKPINK,BORN PINK
43,strawberry moon,아이유(IU),strawberry moon
44,슝! (feat. LISA of BLACKPINK),태양,Down to Earth
45,정이라고 하자 (Feat. 10CM),BIG Naughty (서동현),정이라고 하자
46,드라마,아이유(IU),조각집
47,다정히 내 이름을 부르면,경서예지,다정히 내 이름을 부르면 (경서예지 x 전건호)
48,Unholy,Sam Smith(샘 스미스),Unholy
49,NOT SORRY (Feat. pH-1) (Prod. by Slom),이영지,쇼미더머니 11 Episode 3
50,취중고백,김민석 (멜로망스),취중고백
51,TOMBOY,(여자)아이들,I NEVER DIE
52,F*ck My Life,세븐틴(SEVENTEEN),SEVENTEEN 10th Mini Album ‘FML'
53,STAY,The Kid LAROI,STAY
54,INVU,태연 (TAEYEON),INVU - The 3rd Album
55,Feel My Rhythm,Red Velvet (레드벨벳),‘The ReVe Festival 2022 - Feel My Rhythm’
56,Candy,NCT DREAM,Candy - Winter Special Mini Album
57,사랑이 이별이 돼 가는 모습이,볼빨간사춘기,사랑.zip
58,빛이 나는 너에게,던 (DAWN),빛이 나는 너에게
59,밤이 무서워요 (Lonely Night),주주 시크릿,밤이 무서워요 (Lonely Night)
60,That’s Not How This Works (feat. Dan + Shay),Charlie Puth(찰리 푸스),That’s Not How This Works (feat. Dan + Shay)
