rank,title,singer,album
1,I AM,IVE (아이브),I've IVE
2,Kitsch,IVE (아이브),I've IVE
3,꽃,지수 (JISOO),ME
4,손오공,세븐틴 (SEVENTEEN),SEVENTEEN 10th Mini Album ‘FML'
5,파이팅 해야지 (Feat. 이영지),부석순 (SEVENTEEN),부석순 1st Single Album 'SECOND WIND'
6,Ditto,NewJeans,NewJeans 'OMG'
7,사람 Pt.2 (feat. 아이유),Agust D,D-DAY
8,F*ck My Life,세븐틴 (SEVENTEEN),SEVENTEEN 10th Mini Album ‘FML'
9,Hype boy,NewJeans,NewJeans 1st EP 'New Jeans'
10,OMG,NewJeans,NewJeans 'OMG'
11,Teddy Bear,STAYC(스테이씨),Teddy Bear
12,사랑은 늘 도망가,임영웅,신사와 아가씨 OST Part.2
13,먼지,세븐틴 (SEVENTEEN),SEVENTEEN 10th Mini Album ‘FML'
14,사건의 지평선,윤하 (YOUNHA),YOUNHA 6th Album Repackage 'END THEORY : Final Edition'
15,Like Crazy,지민,FACE
16,FRIEND THE END,볼빨간사춘기,사랑.zip
17,우리들의 블루스,임영웅,IM HERO
18,I Don't Think That I Like Her,Charlie Puth,CHARLIE
19,Fire,세븐틴 (SEVENTEEN),SEVENTEEN 10th Mini Album ‘FML'
20,I Don't Understand But I Luv U,세븐틴 (SEVENTEEN),SEVENTEEN 10th Mini Album ‘FML'
21,April shower,세븐틴 (SEVENTEEN),SEVENTEEN 10th Mini Album ‘FML'
22,CHRISTIAN,Zior Park,WHERE DOES SASQUATCH LIVE? PART 1
23,다시 만날 수 있을까,임영웅,IM HERO
24,심(心),DK(디셈버),심(心)
25,London Boy,임영웅,Polaroid
26,Love Me Like This,NMIXX,expérgo
27,Polaroid,임영웅,Polaroid
28,After LIKE,IVE (아이브),After LIKE
29,무지개,임영웅,IM HERO
30,이제 나만 믿어요,임영웅,내일은 미스터트롯 우승자 특전곡
31,Attention,NewJeans,NewJeans 1st EP 'New Jeans'
32,아버지,임영웅,IM HERO
33,사랑하지 않아서 그랬어,임한별,사랑하지 않아서 그랬어
34,ANTIFRAGILE,LE SSERAFIM (르세라핌),ANTIFRAGILE
35,LOVE DIVE,IVE (아이브),LOVE DIVE
36,A bientot,임영웅,IM HERO
37,Cupid,FIFTY FIFTY,The Beginning: Cupid
38,인생찬가,임영웅,IM HERO
39,빛이 나는 너에게,던 (DAWN),빛이 나는 너에게
40,손이 참 곱던 그대,임영웅,IM HERO
41,Dynamite,방탄소년단,Dynamite (DayTime Version)
42,사랑해 진짜,임영웅,IM HERO
43,연애편지,임영웅,IM HERO
44,Dangerously,Charlie Puth,Nine Track Mind (Deluxe Edition)
45,봄날,방탄소년단,YOU NEVER WALK ALONE
46,NIGHT DANCER,imase,NIGHT DANCER
47,사랑인가 봐,멜로망스,사랑인가 봐 (사내맞선 OST 스페셜 트랙)
48,사랑하기 싫어,지아,사랑하기 싫어
49,HOT,세븐틴 (SEVENTEEN),SEVENTEEN 4th Album 'Face the Sun'
50,밤이 무서워요 (Lonely Night),주주 시크릿,밤이 무서워요 (Lonely Night)
51,보금자리,임영웅,IM HERO
52,Perfume,NCT 도재정,Perfume - The 1st Mini Album
53,Nostalgia,우디 (Woody),Nostalgia
54,너의 모든 순간,성시경,별에서 온 그대 OST Part.7
55,Zero,NewJeans,Zero
56,on the street (with J. Cole),j-hope,on the street (with J. Cole)
57,발걸음,DK(디셈버),발걸음
58,Butter,방탄소년단,Butter
59,건물 사이에 피어난 장미 (Rose Blossom),H1-KEY (하이키),H1-KEY 1st Mini Album [Rose Blossom]
60,Candy,NCT DREAM,Candy - Winter Special Mini Album
61,너를 보는게 지친 하루에,송하예,너를 보는게 지친 하루에
62,VIBE (feat. Jimin of BTS),태양,VIBE (feat. Jimin of BTS)
63,해요 (2022),#안녕,해요 (2022)
64,That's Hilarious,Charlie Puth,CHARLIE
65,Permission to Dance,방탄소년단,Butter / Permission to Dance
66,가질 수 없는 너,#안녕,가질 수 없는 너
