rank,title,singer,album
1,I AM,IVE (아이브),I've IVE
2,Kitsch,IVE (아이브),I've IVE
3,꽃,지수(JISOO),ME
4,Cupid,FIFTY FIFTY,The Beginning: Cupid
5,Ditto,NewJeans,NewJeans 'OMG'
6,손오공,세븐틴(SEVENTEEN),SEVENTEEN 10th Mini Album ‘FML'
7,Hype Boy,NewJeans,NewJeans 1st EP 'New Jeans'
8,Teddy Bear,STAYC(스테이씨),Teddy Bear
9,OMG,NewJeans,NewJeans 'OMG'
10,Love Me Like This,NMIXX,expérgo
11,건물 사이에 피어난 장미 (Rose Blossom),H1-KEY (하이키),H1-KEY 1st Mini Album [Rose Blossom]
12,CHRISTIAN,지올팍(Zior Park),WHERE DOES SASQUATCH LIVE? PART 1
13,I Don’t Think That I Like Her,Charlie Puth(찰리 푸스),I Don’t Think That I Like Her
14,사건의 지평선,윤하(Younha/ユンナ),YOUNHA 6th Album Repackage 'END THEORY : Final Edition'
15,Attention,NewJeans,NewJeans 1st EP 'New Jeans'
16,After LIKE,IVE (아이브),After LIKE
17,LOVE DIVE,IVE (아이브),LOVE DIVE
18,ANTIFRAGILE,LE SSERAFIM (르세라핌),ANTIFRAGILE
19,When I Get Old,Christopher(크리스토퍼),When I Get Old
20,파이팅 해야지 (Feat. 이영지),부석순(SEVENTEEN),부석순 1st Single Album 'SECOND WIND'
21,Dangerously,Charlie Puth(찰리 푸스),Nine Track Mind (Deluxe Edition)
22,Shut Down,BLACKPINK,BORN PINK
23,밤이 무서워요 (Lonely Night),주주 시크릿,밤이 무서워요 (Lonely Night)
24,Poppy (Korean Ver.),STAYC(스테이씨),Teddy Bear
25,TOMBOY,(여자)아이들,I NEVER DIE
26,Nxde,(여자)아이들,I love
27,FRIEND THE END,볼빨간사춘기,사랑.zip
28,Monologue,테이(Tei),Monologue
29,사랑인가 봐,멜로망스(MeloMance),사랑인가 봐 (사내맞선 OST 스페셜 트랙)
30,오르트구름,윤하(Younha/ユンナ),YOUNHA 6th Album 'END THEORY'
31,새삥 (Prod. ZICO) (Feat. 호미들),지코 (ZICO),스트릿 맨 파이터(SMF) Original Vol.3 (계급미션)
32,"모든 날, 모든 순간 (Every day, Every Moment)",폴킴(Paul Kim),'키스 먼저 할까요?' OST Part.3
33,Cupid (Twin Ver.),FIFTY FIFTY,The Beginning: Cupid
34,FEARLESS,LE SSERAFIM (르세라핌),FEARLESS
35,심(心),DK(디셈버),심(心)
36,빛이 나는 너에게,던 (DAWN),빛이 나는 너에게
37,Pink Venom,BLACKPINK,BORN PINK
38,취중고백,김민석 (멜로망스),취중고백
39,Expectations,Anne-Marie(앤 마리),Expectations
40,그라데이션,10CM,5.3
41,STAY,The Kid LAROI,STAY
42,That’s Not How This Works (feat. Dan + Shay),Charlie Puth(찰리 푸스),That’s Not How This Works (feat. Dan + Shay)
43,Cookie,NewJeans,NewJeans 1st EP 'New Jeans'
44,Unholy,Sam Smith(샘 스미스),Unholy
45,한 페이지가 될 수 있게,DAY6 (데이식스),The Book of Us : Gravity
46,다정히 내 이름을 부르면,경서예지,다정히 내 이름을 부르면 (경서예지 x 전건호)
47,That's Hilarious,Charlie Puth(찰리 푸스),That's Hilarious
48,헤어지자 말해요,박재정,1집 Alone
49,WHEN I MOVE,카라(Kara),MOVE AGAIN
50,Say I Love You,우디(Woody),Say I Love You (Re : WIND 4MEN Vol.04)
51,슝! (feat. LISA of BLACKPINK),태양,Down to Earth
52,Off My Face,Justin Bieber(저스틴 비버),Justice
53,KNOCK,이채연,Over The Moon
54,Rush Hour (Feat. j-hope of BTS),Crush,Rush Hour
55,VIBE (feat. Jimin of BTS),태양,VIBE (feat. Jimin of BTS)
56,Candy,NCT DREAM,Candy - Winter Special Mini Album
57,그때 그 순간 그대로 (그그그),WSG워너비 (가야G),WSG워너비 1집
58,Nostalgia,우디(Woody),Nostalgia
59,너의 모든 순간,성시경,별에서 온 그대 (SBS 수목드라마) OST - Part.7
