rank,title,singer,album
65,빛이 나는 너에게,던 (DAWN),빛이 나는 너에게
66,그라데이션,10CM,5.3
67,내가 아니라도,주호,내가 아니라도
68,Blueming,아이유 (IU),Love poem
69,Loving You Girl (Feat. Hkeem),Peder Elias,Love & Loneliness
70,When I Get Old,Christopher & 청하,When I Get Old
71,Unholy,Sam Smith & Kim Petras,Unholy
72,흔들리는 꽃들 속에서 네 샴푸향이 느껴진거야,장범준,멜로가 체질 OST Part 3 (JTBC 금토 드라마)
73,Love Me Like This,NMIXX,expérgo
74,Nostalgia,우디 (Woody),Nostalgia
75,나의 X에게,경서,나의 X에게
76,신호등,이무진,신호등
77,ELEVEN,IVE (아이브),ELEVEN
78,사람 Pt.2 (Feat. 아이유),Agust D,D-DAY
79,Say I Love You,우디 (Woody),Say I Love You (Re : WIND 4MEN Vol.04)
80,Every Second,Mina Okabe,Every Second
81,Candy,NCT DREAM,Candy - Winter Special Mini Album
82,다시 사랑한다면 (니글니글 버터플라이),김필,복면가왕 47회
83,봄날,방탄소년단,YOU NEVER WALK ALONE
84,FEARLESS,LE SSERAFIM (르세라핌),FEARLESS
85,정이라고 하자 (Feat. 10CM),BIG Naughty (서동현),정이라고 하자
86,Cookie,NewJeans,NewJeans 1st EP 'New Jeans'
87,Ai Wo Tsutaetaidatoka,Aimyon,Ai Wo Tsutaetaidatoka
88,HOT,세븐틴 (SEVENTEEN),SEVENTEEN 4th Album 'Face the Sun'
89,Like Crazy,지민,FACE
90,NOT SORRY (Feat. pH-1) (Prod. by Slom),이영지,쇼미더머니 11 Episode 3
91,라일락,아이유 (IU),IU 5th Album 'LILAC'
92,Butter,방탄소년단,Butter
93,그중에 그대를 만나,김호중,삼남매가 용감하게 OST Part.1
94,2002,Anne-Marie,Speak Your Mind (Deluxe)
95,보고싶었어,WSG워너비 (4FIRE),WSG워너비 1집
96,슝! (Feat. LISA of BLACKPINK),태양,Down to Earth
97,At My Worst,Pink Sweat$,The Prelude
98,"모든 날, 모든 순간 (Every day, Every Moment)",폴킴,'키스 먼저 할까요?' OST Part. 3 (SBS 월화드라마)
99,Heaven (2023),임재현,시작은 첫키스 OST Part.1
100,첫눈처럼 너에게 가겠다,에일리 (Ailee),도깨비 OST Part 9 (tvN 금토드라마)
101,Rush Hour (Feat. j-hope of BTS),Crush,Rush Hour
102,희재,성시경,국화꽃 향기 OST
103,밤하늘의 별을 (2020),경서,밤하늘의 별을 (2020)
104,나의 목소리로,김호중,나의 목소리로
105,Off My Face,Justin Bieber,Justice
106,봄여름가을겨울 (Still Life),BIGBANG (빅뱅),봄여름가을겨울 (Still Life)
107,당신을 만나,김호중 & 송가인,당신을 만나
108,주저하는 연인들을 위해,잔나비,전설
109,Weekend,태연 (TAEYEON),Weekend
110,LOVE me,BE'O (비오),LOVE me
111,Dreamers (Music from the FIFA World Cup Qatar 2022 Official Soundtrack) (Feat. FIFA Sound),정국 & 방탄소년단,Dreamers (Music from the FIFA World Cup Qatar 2022 Official Soundtrack)
112,사랑하지 않아서 그랬어,임한별,사랑하지 않아서 그랬어
113,떠나보낼 준비해 둘걸 그랬어,임한별,떠나보낼 준비해 둘걸 그랬어
114,Love story,볼빨간사춘기,Seoul
115,Bad Habits,Ed Sheeran,=
116,자격지심 (Feat. ZICO),BE'O (비오),FIVE SENSES
117,딱 10CM만,10CM & BIG Naughty (서동현),딱 10CM만
118,주마등,김호중,PANORAMA
119,아로하,조정석,슬기로운 의사생활 OST Part 3 (tvN 목요드라마)
120,Perfume,NCT 도재정,Perfume - The 1st Mini Album
121,내 기쁨은 너가 벤틀리를 끄는 거야,김승민,PROTOTYPE RESEARCH #0063
122,빛이 나는 사람,김호중,빛이 나는 사람
123,인생은 뷰티풀,김호중,인생은 뷰티풀 : 비타돌체
124,Bad,Christopher,Under the Surface
125,That That (Prod. & Feat. SUGA of BTS),싸이 (Psy),싸다9
126,Chase Love Hard (Feat. 황민현),볼빨간사춘기,사랑.zip
127,Permission to Dance,방탄소년단,Butter / Permission to Dance
128,strawberry moon,아이유 (IU),strawberry moon
129,슬픈등,김호중,인생은 뷰티풀 : 비타돌체
130,INVU,태연 (TAEYEON),INVU - The 3rd Album
131,Made You Look,Meghan Trainor,Takin' It Back
132,약속 (約束),김호중,PANORAMA
133,발걸음,DK (디셈버),발걸음
134,Celebrity,아이유 (IU),IU 5th Album 'LILAC'
135,오늘도 빛나는 너에게 (To You My Light) (Feat.이라온),마크툽 (Maktub),Red Moon : To You My Light
136,고백,멜로망스 (MeloMance),세 번째 '고백'
137,Il Mare Calmo Della Sera,김호중,PANORAMA
138,나보다 더 사랑해요,김호중,나보다 더 사랑해요
139,Stronger (What Doesn't Kill You),Kelly Clarkson,Stronger (What Doesn't Kill You)
140,Fall In Love Alone,Stacey Ryan,Fall In Love Alone
141,KNOCK,이채연,Over The Moon
142,Yet To Come,방탄소년단,Proof
143,만개 (Prod. 신지후),김호중,우리家
144,OHAYO MY NIGHT,디핵 (D-Hack) & PATEKO,OHAYO MY NIGHT
145,찰나가 영원이 될 때 (The Eternal Moment),마크툽 (Maktub),Red Moon : Beyond The Light
146,잘가요,주호,잘가요
147,에잇 (Prod. & Feat. SUGA of BTS),아이유 (IU),에잇
148,Left and Right (Feat. Jung Kook of BTS),Charlie Puth & 정국 & 방탄소년단,Left and Right
149,"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",AKMU (악뮤),항해
150,나비무덤,포맨 (4MEN),나비무덤
151,우린 그렇게 사랑해서,강민경 (다비치) & 잔나비 최정훈,우린 그렇게 사랑해서
152,내 손을 잡아,아이유 (IU),최고의 사랑 OST Part.4 (MBC 수목드라마)
153,Feel My Rhythm,Red Velvet (레드벨벳),'The ReVe Festival 2022 - Feel My Rhythm'
154,12 : 45 (Stripped),etham,12 : 45 (Stripped)
155,그대를 알고,송하예,그대를 알고
156,한 페이지가 될 수 있게,DAY6 (데이식스),The Book of Us : Gravity
157,다시 사랑한다면,한동근,다시 사랑한다면
158,바라만 본다,MSG워너비 (M.O.M),MSG워너비 1집
159,Next Level,aespa,Next Level
160,낙하 (With 아이유),AKMU (악뮤),NEXT EPISODE
161,팡파레,다비치,Season Note
162,Set Me Free Pt.2,지민,FACE
163,예뻤어,DAY6 (데이식스),Every DAY6 February
164,Tiny Riot,Sam Ryder,The Sun's Gonna Rise
165,그댄 행복에 살텐데 (2022),최유리,그댄 행복에 살텐데 (2022)
166,너를 보는게 지친 하루에,송하예,너를 보는게 지친 하루에
167,새벽에 걸려온 너의 전화는,한동근,미련을 말하는
168,Poppy (Korean Ver.),STAYC (스테이씨),Teddy Bear
169,HIP,마마무(Mamamoo),reality in BLACK
170,마지막 사랑,신예영,마지막 사랑
171,그리움의 계절,김호중,PANORAMA
172,있잖아,폴킴,연애플레이리스트2 OST Part.2
173,헤픈 우연,헤이즈 (Heize),HAPPEN
174,GHOST TOWN,Benson Boone,GHOST TOWN
175,결국엔 너에게 닿아서,WSG워너비 (가야G),결국엔 너에게 닿아서
176,on the street,j-hope & J. Cole,on the street
177,해금,Agust D,D-DAY
178,너의 번호를 누르고 (Prod. by 영화처럼),#안녕,너의 번호를 누르고
179,Memories,Maroon 5,Memories
180,Inspiration (Feat. Beenzino),태양,Down to Earth
181,Zero,NewJeans,Zero
182,회전목마 (Feat. Zion.T & 원슈타인) (Prod. by Slom),sokodomo,쇼미더머니 10 Episode 2
183,딴따라,iKON,딴따라
184,Shape Of You,Ed Sheeran,÷ (Deluxe)
185,오래된 노래,Standing Egg (스탠딩 에그),오래된 노래
186,Sunday Night Drive,박재범,Sunday Night Drive
187,마이웨이 (MY WAY) (Prod. by R.Tee),저스디스 (JUSTHIS) & R.Tee & 던말릭 (DON MALIK) & 허성현 (Huh) & KHAN & 맥대디 (Mckdaddy) & Los,쇼미더머니 11 Episode 1
188,시차 (We Are) (Feat. 로꼬 & GRAY),우원재,시차 (We Are)
189,I Ain't Worried,OneRepublic,I Ain't Worried (Music From The Motion Picture 'Top Gun : Maverick')
190,BETELGEUSE,Yuuri,BETELGEUSE
191,사이렌 Remix (Feat. UNEDUCATED KID & Paul Blanco),호미들,사이렌 Remix
192,봄 사랑 벚꽃 말고,HIGH4 & 아이유,봄 사랑 벚꽃 말고
193,도깨비불 (Illusion),aespa,Girls - The 2nd Mini Album
194,가질 수 없는 너,#안녕,가질 수 없는 너
195,I'm Not The Only One,Sam Smith,In The Lonely Hour (Standard Edition)
196,풍등,이찬원,ONE
197,Light Switch,Charlie Puth,CHARLIE
198,Kiss,NCT 도재정,Perfume - The 1st Mini Album
199,다시 사랑한다 말할까,김동률,3집 귀향 (歸鄕)
200,아모르 파티,이홍기 (FT아일랜드),아모르 파티
