rank,title,singer,album
1,I AM,IVE (아이브),I've IVE
2,Kitsch,IVE (아이브),I've IVE
3,꽃,지수 (JISOO),ME
4,손오공,세븐틴 (SEVENTEEN),SEVENTEEN 10th Mini Album ‘FML'
5,파이팅 해야지 (Feat. 이영지),부석순 (SEVENTEEN),부석순 1st Single Album 'SECOND WIND'
6,Ditto,NewJeans,NewJeans 'OMG'
7,사람 Pt.2 (feat. 아이유),Agust D,D-DAY
8,F*ck My Life,세븐틴 (SEVENTEEN),SEVENTEEN 10th Mini Album ‘FML'
9,Hype boy,NewJeans,NewJeans 1st EP 'New Jeans'
10,OMG,NewJeans,NewJeans 'OMG'
11,사랑은 늘 도망가,임영웅,신사와 아가씨 OST Part.2
12,Teddy Bear,STAYC(스테이씨),Teddy Bear
13,먼지,세븐틴 (SEVENTEEN),SEVENTEEN 10th Mini Album ‘FML'
14,우리들의 블루스,임영웅,IM HERO
15,Like Crazy,지민,FACE
16,사건의 지평선,윤하 (YOUNHA),YOUNHA 6th Album Repackage 'END THEORY : Final Edition'
17,다시 만날 수 있을까,임영웅,IM HERO
18,I Don't Think That I Like Her,Charlie Puth,CHARLIE
19,FRIEND THE END,볼빨간사춘기,사랑.zip
20,Fire,세븐틴 (SEVENTEEN),SEVENTEEN 10th Mini Album ‘FML'
21,London Boy,임영웅,Polaroid
22,I Don't Understand But I Luv U,세븐틴 (SEVENTEEN),SEVENTEEN 10th Mini Album ‘FML'
23,April shower,세븐틴 (SEVENTEEN),SEVENTEEN 10th Mini Album ‘FML'
24,Polaroid,임영웅,Polaroid
25,CHRISTIAN,Zior Park,WHERE DOES SASQUATCH LIVE? PART 1
26,심(心),DK(디셈버),심(心)
27,무지개,임영웅,IM HERO
28,Love Me Like This,NMIXX,expérgo
29,이제 나만 믿어요,임영웅,내일은 미스터트롯 우승자 특전곡
30,아버지,임영웅,IM HERO
31,After LIKE,IVE (아이브),After LIKE
32,A bientot,임영웅,IM HERO
33,손이 참 곱던 그대,임영웅,IM HERO
34,인생찬가,임영웅,IM HERO
35,Attention,NewJeans,NewJeans 1st EP 'New Jeans'
36,사랑해 진짜,임영웅,IM HERO
37,사랑하지 않아서 그랬어,임한별,사랑하지 않아서 그랬어
38,ANTIFRAGILE,LE SSERAFIM (르세라핌),ANTIFRAGILE
39,연애편지,임영웅,IM HERO
40,LOVE DIVE,IVE (아이브),LOVE DIVE
41,Cupid,FIFTY FIFTY,The Beginning: Cupid
42,빛이 나는 너에게,던 (DAWN),빛이 나는 너에게
43,Dynamite,방탄소년단,Dynamite (DayTime Version)
44,보금자리,임영웅,IM HERO
45,Dangerously,Charlie Puth,Nine Track Mind (Deluxe Edition)
46,HOT,세븐틴 (SEVENTEEN),SEVENTEEN 4th Album 'Face the Sun'
47,사랑인가 봐,멜로망스,사랑인가 봐 (사내맞선 OST 스페셜 트랙)
48,사랑하기 싫어,지아,사랑하기 싫어
49,NIGHT DANCER,imase,NIGHT DANCER
50,봄날,방탄소년단,YOU NEVER WALK ALONE
51,Perfume,NCT 도재정,Perfume - The 1st Mini Album
52,밤이 무서워요 (Lonely Night),주주 시크릿,밤이 무서워요 (Lonely Night)
53,Nostalgia,우디 (Woody),Nostalgia
54,너의 모든 순간,성시경,별에서 온 그대 OST Part.7
55,Zero,NewJeans,Zero
56,on the street (with J. Cole),j-hope,on the street (with J. Cole)
57,발걸음,DK(디셈버),발걸음
58,Butter,방탄소년단,Butter
59,건물 사이에 피어난 장미 (Rose Blossom),H1-KEY (하이키),H1-KEY 1st Mini Album [Rose Blossom]
60,너를 보는게 지친 하루에,송하예,너를 보는게 지친 하루에
61,Candy,NCT DREAM,Candy - Winter Special Mini Album
62,Set Me Free Pt.2,지민,FACE
63,해요 (2022),#안녕,해요 (2022)
64,해금,Agust D,D-DAY
65,가질 수 없는 너,#안녕,가질 수 없는 너
66,VIBE (feat. Jimin of BTS),태양,VIBE (feat. Jimin of BTS)
67,헤어지자 말해요,박재정,1집 Alone
